A/Z_1MHz,Θ/Z_1MHz,A/Z_500kHz,Θ/Z_500kHz,A/Z_100kHz,Θ/Z_100kHz,A/Z_50kHz,Θ/Z_50kHz,A/Z_10kHz,Θ/Z_10kHz,label
0.0005483890700903473,-0.011961554299427657,0.0002808446203005209,-0.011768565927672028,5.931391480858197e-05,-0.01153913910738985,3.124415053848276e-05,-0.011677776687173345,8.196245532858696e-06,-0.012494851241963154,1
0.000550479138473373,-0.011947460574262127,0.00028307225973232234,-0.011676037309134637,5.839503311655906e-05,-0.011591058844333535,3.212096901862225e-05,-0.011650965265269578,8.18171644589314e-06,-0.012644350932242353,1
0.0005492526012273643,-0.011981284221866555,0.00028211331781502453,-0.01173829065588084,5.7955835237949465e-05,-0.011474659926031607,3.1836696178232356e-05,-0.011664770201911616,8.264613874764519e-06,-0.012582942263289215,1
0.0005498495586589355,-0.011952960016113049,0.0002776651497742714,-0.011809144501691878,6.320265863854362e-05,-0.011565667980597022,3.147588429343185e-05,-0.011546784341149833,8.188313745561712e-06,-0.012620876311935973,1
0.0005487293580732296,-0.011931099851716007,0.0002809495383143173,-0.011675500660450906,6.481889688687601e-05,-0.011812679256012338,3.1374701555446076e-05,-0.011851529707960787,8.230733461457814e-06,-0.012650884709329603,1
0.0005495130616941314,-0.011930788644645796,0.0002805626586258486,-0.011806110822773417,5.958674880754015e-05,-0.01159648436466649,3.151793037046278e-05,-0.01171102748680693,8.226179178199303e-06,-0.012679713799687815,1
0.0005500992842567446,-0.011981974207289114,0.0002837856504605985,-0.01166534656608268,6.483031333560783e-05,-0.011785773897443095,3.272580615537574e-05,-0.011699229674880055,8.228460094026893e-06,-0.0127138858817727,1
0.0005490914511839402,-0.01196051473500377,0.0002820603093263912,-0.011713592512080364,5.90669861211679e-05,-0.011655998954802843,3.209230658281247e-05,-0.011399055045033354,8.200871140489212e-06,-0.012585830901927634,1
0.0005486932439397033,-0.01196116421643685,0.00028056026042409143,-0.011711705705927923,5.626630802626961e-05,-0.011725123861605496,3.153159068309124e-05,-0.011842203955306566,8.263250993915398e-06,-0.012609775033346437,1
0.0005490087994746074,-0.011991655222980123,0.00028030547294650385,-0.01171295839595034,5.732528312930109e-05,-0.011478625076477258,3.185238459312975e-05,-0.011840821799714156,8.215275700191604e-06,-0.012523420777119123,1
0.0005488029709909829,-0.011936283577786854,0.0002798843218393981,-0.011666164716513648,6.326872157075751e-05,-0.011617309566994277,3.0764214309115964e-05,-0.011570649588999112,8.24778266466507e-06,-0.012656913036760021,1
0.0005496210678769103,-0.011946195814424417,0.00028086353036035254,-0.011679709200543828,6.253273123392907e-05,-0.01162194116946975,3.1361162531700785e-05,-0.011946649087927563,8.212627488004206e-06,-0.012516849126184526,1
0.0005493836468985822,-0.011954861678721302,0.00028002858931720575,-0.011675500244683109,5.8246917308840626e-05,-0.011503898573846176,3.150073688791781e-05,-0.011466945747296396,8.190239401606825e-06,-0.012478715241034256,1
0.0005496544256392647,-0.011966892258497716,0.0002801462261887772,-0.011730437714635682,6.080507646892933e-05,-0.011471092774170627,3.215120191727108e-05,-0.01173566926991926,8.225841166785425e-06,-0.012642352762521882,1
